session_id,session_length,total_duration_sec,contains_checkout
sess_1ekq2a40,21,108.16,True
sess_1eqspc2k,7,21822.851,True
sess_1ex8xhoc,5,34.539,False
sess_4rwu9d36,2,0.153,False
sess_55h8tr1h,2,0.199,False
sess_5tyuqmwy,2,0.14,False
sess_6i38xmvb,2,0.808,False
sess_6nt44t4k,18,69.605,True
sess_6ogygdax,22,259.693,True
sess_7e3ov9qd,7,20.134,True
sess_7molzl04,2,0.969,False
sess_7nqweajd,2,0.163,False
sess_7t10sisi,13,231.381,True
sess_8rpls525,2,5.782,False
sess_8vvywcv3,2,0.12,False
sess_9jhvs0nt,21,123.259,False
sess_9yetjmuj,2,0.135,False
sess_bshe5l4s,8,49.66,True
sess_bxgbs9ld,2,1.851,False
sess_d7jkmz3q,2,0.53,False
sess_e9hk15es,2,0.348,False
sess_f2t2g6ce,5,99.538,False
sess_fski0sa6,2,0.363,False
sess_gjxw1h49,11,4671.428,True
sess_gs57c02a,2,0.872,False
sess_gx4xs77h,2,2.774,False
sess_jrxcxomo,2,0.133,False
sess_ke3fpiuk,11,62.408,False
sess_krqbyi5b,2,0.145,False
sess_ma87qt50,21,85805.251,True
sess_mhd78el3,19,200.377,True
sess_mpj5kfnu,16,399845.387,True
sess_n209p2r6,2,1.325,False
sess_n5wa05r7,13,626.3,True
sess_o0tbo3cy,14,84.264,True
sess_p7wrrp45,8,133.659,True
sess_pgwrnlz9,2,0.217,False
sess_qrwd2byt,11,29.131,False
sess_r0o1tqz5,2,0.553,False
sess_s1gbk3lb,10,988.044,True
sess_ujiqr5cl,2,0.545,False
sess_uvhmu9pt,2,0.131,False
sess_vmmdf5r0,2,0.279,False
sess_vxliytbz,15,249.377,True
sess_wsz05kqy,8,170.173,True
sess_xsybtoru,2,0.155,False
sess_ypg2o93q,2,0.134,False
sess_z798irvm,25,256.926,False
sess_zvnjkoyd,2,0.444,False
